Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
"Senior Data Scientist , Advanced Analytics",$123K-$199K (Glassdoor est.),"Senior Data Scientist
Raytheon Missiles & Defense (RMD)
Digital Technology, Advanced Analytics
Andover, MA

Are you a self-driven problem solver and continuous learner with a passion for data, applied statistics, machine learning, programming and visualization? If so, you might be interested in the opportunity to join RMD’s Digital Technology Advanced Analytics team as a Data Scientist.

RMD seeks an entrepreneurial analyst capable of working across functional areas with minimal supervision in order to support the application of data science / software engineering methods and techniques for production scale internal use and external research. The successful candidate will work with stakeholders and the Advanced Analytics team to develop analytic products for agile delivery. Products will span manufacturing, engineering, business development, supply chain, and quality control functions.

At RMD, we work together as one global team creating trusted, innovative solutions to make the world a safer place. Our innovation spans all domains: from land and sea to air, space and cyberspace. We’re inspired by a noble mission that’s shared by RMD employees around the globe and an inclusive culture that empowers employees and celebrates their contributions.

This role will be based in Andover, MA. Please note that limited capped budget relocation support will be provided to the selected applicant if they are eligible per company policy. The amount will be discussed at the appropriate stage of our process.

Required Skills:
Demonstrated experience meeting with business stakeholders to identify and develop requirements for strategic use cases and research and development opportunities
Specific use and application of Python (numpy, scipy, pandas, scikit-image, and scikit-learn) to statistical and/or machine learning applications beyond academic examples
Effectively communicate statistical/mathematical techniques to non-technical audiences and senior leadership
Collaborate with data owners and technology teams to source data sets required for analyses
Apply quantitative techniques (normalization, applied statistics) to cleanse and explore large, complex data sets in preparation for further analysis
Apply data reduction, feature selection, and feature engineering techniques
Develop and implement hypothesis tests
Review, enhance, and quality assure operationalized algorithms and models
Iterate on and/or create repeatable, reusable processes and scalable data products with the advanced analytics team
Maintain contemporary expertise on new data science methods, technologies, industry trends and open source packages
Eligibility to obtain a US Govt. Dept. of Defense Secret Clearance as necessary for future projects that require it. Except in rare cases, only US Citizens are eligible to obtain US Clearances.
Desired Skills:
Proficiency with at least one deep learning framework such as PyTorch, TensorFlow, Keras, Theano or Caffe
It is important that candidates demonstrate the ability to articulate application of said skills to business results rather than purely academic endeavors.
Familiarity with CNN architectures such as ResNet, Inception, XCeption, NASNet, VGG, UNet, Stacked Hourglass, MobileNet, pix2pix, and CycleGAN
Experience with data visualization applications such as Tableau, Microsoft PowerBI, SAP Lumira, etc.
Ability and eagerness to learn, educate and mentor others
Experience in diverse domains (manufacturing operations, supply chain, finance, engineering, information technology, business development, quality control)
Experience with commercial software development processes: good software hygiene regarding code documentation, unit testing, bug tracking and version control
Familiarity deploying machine learning models in public cloud services such as AWS, Azure, or Google Cloud Platform
Track record of GPU programming, network optimization and deployment for data science applications
Required Education (including Major):
Bachelor’s or higher degree in Statistics, Econometrics, Engineering, Computer Science, Finance, Mathematics or a quantitative degree in other social science or hard science fields

This position requires either a U.S. Person or a Non-U.S. Person who is eligible to obtain any required Export Authorization and required US Security Clearance.
166749
Raytheon Technologies is an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, age, color, religion, creed, sex, sexual orientation, gender identity, national origin, disability, or protected Veteran status.",3.8,"Raytheon Missiles & Defense
3.8","Andover, MA",-1,-1,-1,-1,-1,-1,-1,-1
Data Scientist 2,$52K-$95K (Glassdoor est.),"Description
Digital Health and Analytics within Humana is dedicated to transform members’ health experience and Humana’s services using technology and analytics. We are looking for a Data Scientist 2 who will design studies and utilize cutting-edge predictive modeling techniques, test rigorous hypotheses, and turn data and insights into actionable plans. Being part of talented team of data scientists with broad skills and applications, the Data Scientist will work cross-functionally and collaboratively with teams across the enterprise through innovative R&D, machine learning, and cutting-edge platforms. The scope of our work includes forecasting, predictive modeling, designing business experiments, and ROI studies. The ideal candidate will have hands-on experience on healthcare data, demonstrated innovative and creative methods for overcoming testing constraints, as well as successfully applying machine learning techniques to address business needs.
Responsibilities
The Data Scientist 2 develops, maintains, and collects structured and unstructured data sets for analysis and reporting. Creates reports, projections, models, and presentations to support business strategy and tactics. Understands department, segment, and organizational strategy and operating objectives, including their linkages to related areas. Makes decisions regarding own work methods, occasionally in ambiguous situations, and requires minimal direction and receives guidance where needed. Follows established guidelines/procedures.
Responsibilities
Develop and validate statistical forecasting models or predictive models and tools
Research and evaluate innovative analytical methodologies, approaches, and solutions
Collaborate with analytic and data teams to set objectives, approaches, and work plans
Interprets and communicates analytic results to analytical and non-analytical business partners
Understands department, segment, and organizational strategy and operating objectives, including their linkages to related areas
Make decisions regarding own work methods, occasionally in ambiguous situations, and requires minimal direction and receives guidance where needed

Required Qualifications
Master's Degree in a quantitative discipline, such as Computer Science, Mathematics or Statistics and/or related quantitative field
2+ years of experience in advanced data analytics
Demonstrated experience with SAS, SQL, MATLAB, DataRobot, Python or similar statistical and scripting tools
Experience developing and validating statistical forecasting models or predictive models
Experience interpreting and communicating analytic results to analytical and non-analytical business partners
Naturally curious and comfortable with ambiguity and demonstrate critical thinking
Clear and concise oral and written communication skills, with a proven ability to translate complex methodologies and analytical results to non-technical business insights
Strong interpersonal and consulting skills
Preferred Qualifications
PhD in a quantitative discipline, such as Computer Science, Mathematics or Statistics and/or related quantitative field
Healthcare or managed care experience
Experience building large-scale predictive models
Experience in Big Data environment specifically PySpark and/or Databricks
Experience in deep learning, natural language processing, and recommendation systems
Additional Information
This position is based on either Humana’s headquarters in Louisville-KY or Humana’s Studio-H in Boston-MA.
Scheduled Weekly Hours
40",3.9,"Raytheon Missiles & Defense
3.8","Louisville, KY",-1,10000+ Employees,1961,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD),-1
Clinical Laboratory Scientist (Generalist),-1,"POSITION OVERVIEW
The Clinical Laboratory Scientist will assist with day-to-day laboratory testing on patient specimens and ensure adherence to all applicable compliance requirements. This position may also assist with research and validation of new methods. We prefer candidates with a history of performing complex molecular laboratory testing. Experience with molecular instrumentation, PCR and NGS is highly preferred.
*This position could lead to a leadership role*
ESSENTIAL JOB FUNCTIONS
Perform routine and complex technical procedures and functions according to laboratory Standard Operating Procedures (SOPs)
Data analysis and reporting of test results.
Monitor QA/QC records and ensure inspection readiness at all times
Coordinate with Laboratory Director and Technical Supervisor
Adhere to and ensure laboratory staff are adhering to OSHA, CLIA, HIPAA, and other safety practices
Ensure an efficient workflow operation and report any delays and/or problems.
Maintain and track inventory for reagents, consumables, and ancillaries to support laboratory functions and ordering supplies/reagents.
Is responsible for instrument maintenance and troubleshooting, quality control evaluation, and problem solving.
Comply with the policies/practices/ and procedures contained in the SOP Manual.
Participate in research, development, and validation for new method.
Prepare, test, and evaluate new reagents or controls.
Determine the acceptability of specimens for testing according to established criteria.
Demonstrate the ability to make technical decisions regarding testing and problem solving.
Report accurate and timely test results in order to deliver quality patient care.
Assist with accessioning of specimens when needed.
Maintain a safe work environment and wear appropriate personal protective equipment.
Assists and supports Quality Control/Quality Assurance program.
Able to organize and prioritize work to meet established deadlines.
Remains competent in all assigned stations.
Maintain clean laboratory space.
Supervise and train junior laboratory staff.
Attend meetings and relevant training.
Maintain appropriate certifications.
Handle multiple tasks simultaneously and work in a fast paced environment.
Demonstrate willingness to accept additional responsibility with a positive attitude.
Demonstrate ability to work independently and with a team.
REQUIRED SKILLS/QUALIFICATIONS
CLS - Required
PCR experience - Required
Fluent using MS Word, & Excel
Strong written and verbal communication skills. Able to speak English language clearly.
Management and leadership skills.
Good computer skills.
Strong independent problem solving skills.
PREFERRED QUALIFICATIONS
3+ years Clinical laboratory experience in Molecular Diagnostics.
Job Type: Full-time
Pay: $44.00 - $66.00 per hour
Benefits:
401(k)
401(k) matching
Dental insurance
Health insurance
Paid time off
Referral program
Vision insurance
Schedule:
8 hour shift
Monday to Friday
License/Certification:
Clinical Laboratory Scientist License (Required)
Benefit Conditions:
Waiting period may apply
Only full-time employees eligible",-1,ApolloMDx Labs,"Irvine, CA",-1,-1,-1,-1,-1,-1,-1,-1
Sr. Validation Scientist 30303 - Validation & Sterilization,-1,"Education:
Doctorate degree or Master’s degree in Sciences/Engineering and 3 years of directly related experience or Bachelor’s degree in Sciences/Engineering and 5 years of directly related experience
Preferred Qualifications:
Validation expertise
Sterilization
Kaye Validator & Data loggers
Process Validation
Equipment Qualification
Computer System Validation
Technical Writing
Description:
Independently provides and/or directs the technical validation engineering support of process and/or equipment upgrades, replacements, and modifications in the laboratory, manufacturing or manufacturing support environment. Able to troubleshoot systemic validation issues. Applies advanced and diverse validation engineering principles to the design and implementation of major system or process modifications and/or capital projects. Develops, organizes, analyzes and presents interpretation of results for operational issues or validation engineering projects of significant scope and complexity. Complete complex or novel assignments requiring development of new and/or improved validation engineering techniques and procedures. Develop validation engineering policies and procedures that affect multiple organizational units. Supervise, coordinate and review work of a small staff of engineers and/or technicians on an ongoing basis as well as on a project basis. Employ advanced validation engineering techniques and/or modifications of advanced techniques within area of validation engineering expertise. Apply knowledge of validation engineering principles and practices outside of area of expertise to broad variety of assignments in related fields. Develop technical solutions to complex problems requiring the regular use of ingenuity and creativity. Work with manufacturing, process development, utilities, facilities, labs, and/or quality assurance in developing requirements and recommendations for large and/or highly complex process, system/facility modifications. Work with project managers to complete the validation responsibilities of engineering projects within schedule, budget and quality constraints. Develop departmental budgets or project budgets encompassing multiple disciplines for area within project or entirety of smaller project. Prompt and regular attendance to the workplace.
*Other functions may be assigned
Job Type: Full-time
Salary: $0.00 per hour
Education:
Bachelor's (Preferred)
Experience:
Validation: 5 years (Preferred)
Sterilization: 5 years (Preferred)",-1,CIS International LLC,"Juncos, PR",-1,-1,-1,-1,-1,-1,-1,-1
Medical Lab Scientist I,-1,"Job Description
Performs accurate and reliable analysis requiring a complex network of steps and variables. Recognizes technical, instrumental or physiological problems, identifies the cause and evaluates alternative solutions where no pre-set criteria are available. Confirms and verifies laboratory results utilizing in-depth knowledge of techniques, principles and instruments. Correlates and interprets data based on knowledge of physiological conditions affecting test results. Establishes and monitors quality assurance programs. Participates in establishing and monitoring performance improvement programs
Job Requirements
Applicable Experience:
Less than 1 year
Medical Laboratory Scientist - American Society for Clinical Pathology
Bachelor's Degree (Required)
Job Details
Part time
Swing (United States of America)
""The best place to get care. The best place to give care."" That is the Saint Luke's vision and, whether in a hospital, clinic, practice, or office, our more than 12,000 employees strive toward that vision every day. Saint Luke's employees are proud of our rich history and heritage, and that we remain the only faith-based, nonprofit, locally owned health system in Kansas City. Joining Saint Luke's means joining a team of exceptional professionals who always strive for excellence in patient care. Take this opportunity to do the best work of your career within a highly diverse and inclusive work space where all voices matter.
Join the Kansas City region's premiere provider of health services. Equal Opportunity Employer. We hire only non-tobacco users.",4.0,"Saint Lukes
4.0","Iola, KS",-1,51 to 200 Employees,1926,Company - Private,Preschool & Child Care,Education,$25 to $50 million (USD),-1
Risk Analytics Manager,-1,"Key Responsibilities
Develop and execute risk management and lead acquisition strategies inside the business rules / decision engine and help quality assure, roll out and monitor.
Validate and test risk management strategies. Evaluate statistical scoring, segmentation, and third-party products for effective risk mitigation solutions.
Work with cross functional teams to develop and execute on strategic initiatives.
Implement initiatives to ensure consistency and compliance with credit policies, and liaise with cross functional business counterparts to develop and implement risk strategies and third party platform integration.
Analyze credit risk and financial data to develop, test, and optimize risk factors related to credit policies.
Leverage analytics skills to perform risk, financial and data analysis including profiling, reconciliation, and quality testing.
Prepare risk reports for senior management that include analytics of risk, performance, emerging trends and opportunities.
Planning, designing and implementing an overall risk management process for the organization
Essential Functions:
Project Management: Oversee project lifecycle of data studies, new technology interrogation, or any other projects related to risk or analytics. Deliver written project plans to set expectations and gain strategic agreement. Interface with systems personnel for timely accurate implementation of underwriting solutions. Gather requirements for new or modified software systems enhancements and/or integration solutions. Conduct and analyze business and information technology processes and prepare essential groundwork. Make recommendations for necessary changes on projects that come from other departments.
Support: At as liaison to general counsel, marketing department, operations department, financial department, financial department, and individuals. Work with portfolio and merchant representatives to execute current and emerging business strategies. Interact internally to determine involvement, data requirements, and analysis. Research and evaluate new technology trends, data providers and analytics opportunities.
Leadership – Mentor junior level analysts of the Risk Management team. Ensure training/delivery of scheduled and ad-hoc data reports/studies and developing new effective methods to communicate significant risk information. Make recommendations for personnel actions and assist in day-to-day operations of group.
Insight – Maintain a thorough understanding of risk, operational, and management concepts to manage major portfolio risk factors. Investigate escalated incidences in reports for further review. Suggest possible risk management solutions, credit policy changes, and action plans. Turn business requirements into functional and technical specs for inclusion in the development process and in business planning. Define and develop business reports that support project assignments.
Skills:
Active Listening - Giving full attention to what other people are saying, taking time to understand the points being made, asking questions as appropriate, and not interrupting at inappropriate times.
Writing - Communicating effectively in writing as appropriate for the needs of the audience.
Speaking - Talking to others to convey information effectively.
Problem Solving – Identifies and resolves problems in a timely manner; Gather and analyzes information skillfully; Develops alternative solutions.
Project Management – Coordinates projects; communicates changes in progress; Completes projects on time.
Technical Skills – Pursues training and development opportunities; Shares expertise with others
Analytical – Synthesizes complex or diverse information; collects and researches data.
Critical Thinking - Using logic and reasoning to identify the strengths and weaknesses of alternative solutions, conclusions or approaches to problems.
Credit Scoring & Modeling - Understanding of predictive modeling and credit scoring methodologies
Reading Comprehension - Understanding written sentences and paragraphs in work related documents.
Social Perceptiveness - Being aware of others' reactions and understanding why they react as they do.
Understanding of predictive modeling and credit scoring methodologies
Attributes:
Oral Expression - The ability to communicate information and ideas in speaking so others will understand.
Oral Comprehension - The ability to listen to and understand information and ideas presented through spoken words and sentences.
Written Comprehension - The ability to read and understand information and ideas presented in writing.
Written Expression - The ability to communicate information and ideas in writing so others will understand.
Speech Clarity - The ability to speak clearly so others can understand you.
Speech Recognition - The ability to identify and understand the speech of another person.
Experience and Education:
Bachelor’s degree in economics, mathematics, statistics or related field
3+ years experience, risk and financial services
2 years’ experience in the risk management field, minimum
Computer Software/Hardware:
Microsoft Word, Excel, PowerPoint
Access and Crystal Reporting
Outlook Exchange
Underwriting Software, Proficient in SQL, SAS, R or Python
Physical Requirements/Work Environment:
Must be able to stand and sit for long periods of time, talking, hearing constantly.
Occasionally lift up to 10 lbs. on occasion
Must be able to sit in front of computer monitor (s) daily
Sitting and or standing for long periods of time.
Noise level: moderate noise level daily in an office atmosphere.
Skills
Required
Technical knowledge & skills
Critical Thinking
Active Listening
Analytical",-1,"Cane Bay Partners VI, LLP/CBP","Christiansted, VI",-1,-1,-1,-1,-1,-1,-1,-1
Surgical Scientist,-1,"Job Title:
Surgical Scientist
Job Summary:
The position of Surgical Scientist reports to the Principal Surgical Scientist. Surgical Scientists are primarily responsible for providing surgical support services. Primary support will be in the form of surgical services conducted in the performance of research protocols. Surgical Scientists will also offer support in the form of surgical protocol development. They will help research and implement any new surgical services offered by the facility, coordinating with the Principal Surgical Scientist, Director of Surgery, and Study Director, as well as train or coordinate surgical-related training of Research Technicians. Surgical Scientists will stay up to date on industry best practices and provide surgical mentorship as required.
Job Description Role and Responsibilities
Provides surgical services to support research protocols including, but no limited to, performing surgery, study set-up, pre-operative functions, OR supervision and post-operative follow-up
Supports Study Directors and IACUC on study design as it pertains to surgical models
Helps develop and implement new surgical models under direct supervision as necessary
Trains or Coordinates training of surgical research staff
Provides mentorship to research technicians
Evaluates and amends procedures to keep up with best practices in industry
Helps with procuring the equipment necessary to perform surgical services
Has the ability to work extended hours beyond normal work schedule to include, but not limited to evenings and weekends; sometimes on short notice
All other duties as assigned
Qualifications and Education Requirements
Minimum: BS, MS, or equivalent in animal or life science related discipline; at least 5 years of surgical-related research experience.
Surgical Research Technologist (SRT) or Surgical Research Specialist (SRS) Certification through the Academy of Surgical Research
Preferred Skills
Ability to demonstrate the scientific relevance of using surgical models for development of treatments
Demonstrate the ability to independently perform, direct, and assist with minor and major surgical procedures.
Demonstrate the ability to troubleshoot surgical techniques and associated surgical equipment
Proficiency with Microsoft Office core applications. Ability to learn and use additional applications.
Excellent written and oral communication skills, both inside and outside the organization.
Understanding of operational procedures in a Pre-Clinical environment and the ability to resolve complex issues.
Physical Requirements
Physical requirements: Ability to lift and carry up to 50lbs. Occasionally ascend/descend ladders and stairs.
Ability to don and wear personal protective gear, including respirators.
Ability to stand for long periods of time.
Work Environment
The person filling this position will spend approximately 35% in an office setting and 65% in the laboratory/operating room. There may be exposure to animal pathogens and chemicals. There may be handling of, and/or exposure to animal tissue and zoonotic organisms.
Ability to handle common laboratory species
Excellent understanding of study design and protocols
Knowledge of GLPs and other federal regulations relating to care of laboratory animals
Advanced understanding of laboratory operations and data collection
Ability to work effectively under time constraints
Job Type: Full-time
Pay: $60,000.00 - $80,000.00 per year
Benefits:
401(k)
401(k) matching
Dental insurance
Health insurance
Health savings account
Life insurance
Paid time off
Professional development assistance
Relocation assistance
Tuition reimbursement
Vision insurance
Schedule:
8 hour shift
Overtime
Education:
Bachelor's (Preferred)
Experience:
Surgeon: 3 years (Preferred)
GLP: 3 years (Preferred)
This Company Describes Its Culture as:
Detail-oriented -- quality and precision-focused
Stable -- traditional, stable, strong processes
Team-oriented -- cooperative and collaborative
Company's website:
www.northernbiomedical.com
Benefit Conditions:
Waiting period may apply
Work Remotely:
No
COVID-19 Precaution(s):
Remote interview process
Personal protective equipment provided or required
Temperature screenings
Social distancing guidelines in place
Virtual meetings
Sanitizing, disinfecting, or cleaning procedures in place",-1,NBR,"Norton Shores, MI",-1,-1,-1,-1,-1,-1,-1,-1
Data Scientist - HCI,-1,"Data Scientist - HCI
Long Beach, CA
Full-time

About SCAN
As one of the nation’s largest not-for-profit Medicare Advantage plans, serving more than 200,000 members in California, SCAN Health Plan has been a mission-driven organization dedicated to keeping seniors healthy and independent for over 40 years. SCAN employees are passionate about what they do, and understand that success is based on achieving the mission. Employees are afforded with the training and tools necessary to do their jobs and are rewarded for their efforts and recognized as experts in their fields. To learn more, visit scanhealthplan.com or follow us on social media: LinkedIn; Facebook; and Twitter.

The Opportunity
The Data Scientist will support leadership and Healthcare Informatics teams with insights gained from analyzing company and external data to help make smarter decisions and drive better outcomes. You must be adept at using large data sets to find opportunities for quality improvement and process optimization. You must have strong experience using a variety of data mining/data analysis techniques, using a variety of data tools, building and implementing predictive models, using/creating algorithms upon structured and unstructured data. You must have a proven ability to drive business results with their data-driven insights. You must be comfortable working with a wide range of stakeholders and functional teams. The right candidate will have a passion for discovering solutions hidden in large data sets and working with stakeholders to improve business outcomes.

You Will
Work with stakeholders throughout the organization to identify opportunities for leveraging big data to drive business solutions.
Mine and analyze data (both structured and unstructured data) from company databases and external data when needed to drive quality improvement, process optimization and business strategies.
Select features, building and optimizing models using machine learning techniques.
Process, clean, and verify the integrity of data used for analysis.
Develop custom data models and algorithms to apply to data sets.
Use predictive models to increase and optimize intervention targeting, coding accuracy, and other business outcomes.
Do ad-hoc analysis and present results in a clear manner.
Coordinate with different functional teams to implement models and monitor outcomes.
Develop processes and tools to monitor and analyze model performance and data accuracy.

Your Qualifications
Master's Degree or PhD in Statistics, Mathematics, Computer Science, or another quantitative field.
3-5 years of experience handling data sets and building statistical/machine learning models
Excellent understanding of machine leaning techniques (clustering, decision tree learning, neural networks, etc.), the natural language processing techniques, and their real-world advantages/drawbacks.
Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applications.
Experience with cloud computing is preferred, such as Microsoft Azure.
Experience using common data science toolkits (R, Python, SAS, etc.) to handle data and draw insights from large data sets. Excellence in at least one of these is highly desirable.
Proficiency in using query languages such as SQL.
Excellent written and verbal communication skills for coordinating across teams.
A drive to learn and master new technologies and techniques.

What's in it for you? Qualified employees will receive:
A competitive compensation and benefits program
An annual employee bonus program
Generous paid-time-off (PTO)
Ten paid holidays per year
Excellent 403(b) Saving Plan, providing up to 4% match and vesting after three years
Casual attire
A work-life balance and much more!

We're always looking for talented people to join our team! Qualified applicants are encouraged to apply now!

Equal Opportunity Employer/Protected Veterans/Individuals with Disabilities
The contractor will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. However, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by the employer, or (c) consistent with the contractor’s legal duty to furnish information. 41 CFR 60-1.35(c)",2.3,"SCAN Group
2.3","Long Beach, CA",-1,501 to 1000 Employees,-1,Company - Private,-1,-1,Less than $1 million (USD),-1
"Research and Development Scientist, Product Development",-1,"MiraVista Diagnostics
Job Title: Research and Development Scientist – Product Development
Department: Research and Development
Reports to: Research Division Manager
Summary of Responsibilities
The overall focus of this position will be the development, validation and implementation of new immunological assays to aid in diagnosis of infectious diseases.
Essential Duties and Responsibilities
Be part of a team tasked with development and validation of new immunology-based assays, including reagent screening, feasibility, optimization and product release. Prepare research protocols, SOPs, work instructions and other documentation for efficient product development and product transfer.
Effectively communicate scientific results within Research Department and cross- functionally.
Qualifications
Fundamental understanding of immunology and test development.
Experience with design, development and evaluations of EIA, LFA, cytokine assays.
Experience in production of recombinant proteins using various expression hosts.
High level ability to analyze scientific data, assist in preparations of GMP documents.
Must have good attention to details.
Education and Experience
PhD in biology, chemistry, immunology or related field or MS with 8 years experience in a research environment or industry.
Strong interpersonal, communication and problem-solving skills. Ability to work effectively in cross-functional teams.
MiraVista Diagnostics is an Equal Opportunity Employer.
Job Type: Full-time
Benefits:
401(k)
Dental insurance
Disability insurance
Employee assistance program
Flexible spending account
Health insurance
Life insurance
Paid time off
Professional development assistance
Tuition reimbursement
Vision insurance
Schedule:
Monday to Friday
Supplemental Pay:
Bonus pay
Education:
Master's (Required)
Experience:
Research Experience: 8 years (Preferred)
Work Location:
One location
Work Remotely:
No",-1,"MiraVista Diagnostics, LLC","Indianapolis, IN",-1,-1,-1,-1,-1,-1,-1,-1
"Research and Development Scientist, Product Development",-1,"MiraVista Diagnostics
Job Title: Research and Development Scientist – Product Development
Department: Research and Development
Reports to: Research Division Manager
Summary of Responsibilities
The overall focus of this position will be the development, validation and implementation of new immunological assays to aid in diagnosis of infectious diseases.
Essential Duties and Responsibilities
Be part of a team tasked with development and validation of new immunology-based assays, including reagent screening, feasibility, optimization and product release. Prepare research protocols, SOPs, work instructions and other documentation for efficient product development and product transfer.
Effectively communicate scientific results within Research Department and cross- functionally.
Qualifications
Fundamental understanding of immunology and test development.
Experience with design, development and evaluations of EIA, LFA, cytokine assays.
Experience in production of recombinant proteins using various expression hosts.
High level ability to analyze scientific data, assist in preparations of GMP documents.
Must have good attention to details.
Education and Experience
PhD in biology, chemistry, immunology or related field or MS with 8 years experience in a research environment or industry.
Strong interpersonal, communication and problem-solving skills. Ability to work effectively in cross-functional teams.
MiraVista Diagnostics is an Equal Opportunity Employer.
Job Type: Full-time
Benefits:
401(k)
Dental insurance
Disability insurance
Employee assistance program
Flexible spending account
Health insurance
Life insurance
Paid time off
Professional development assistance
Tuition reimbursement
Vision insurance
Schedule:
Monday to Friday
Supplemental Pay:
Bonus pay
Education:
Master's (Required)
Experience:
Research Experience: 8 years (Preferred)
Work Location:
One location
Work Remotely:
No",4.0,"MiraVista Diagnostics, LLC","Indianapolis, IN",-1,51 to 200 Employees,1926,Company - Private,Preschool & Child Care,Education,$25 to $50 million (USD),-1
